% Model,sim16_Out_t.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,
% Date,"Mar 7 2022, 15:20",,,,,,,,,,,,,,
% Dimension,2,,,,,,,,,,,,,,
% Nodes,10649,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,
% Description,Temperature,,,,,,,,,,,,,,
% Length unit,m,1.4148,1.4211,1.4273,1.4336,1.4398,1.4461,1.4524,1.4586,1.4649,1.4712,1.4774,1.4837,1.4899,1.4962
% r,z,T (K) @ thermalCo=1.4148,T (K) @ thermalCo=1.4211,T (K) @ thermalCo=1.4273,T (K) @ thermalCo=1.4336,T (K) @ thermalCo=1.4398,T (K) @ thermalCo=1.4461,T (K) @ thermalCo=1.4524,T (K) @ thermalCo=1.4586,T (K) @ thermalCo=1.4649,T (K) @ thermalCo=1.4712,T (K) @ thermalCo=1.4774,T (K) @ thermalCo=1.4837,T (K) @ thermalCo=1.4899,T (K) @ thermalCo=1.4962
0,0,1.4148,1.4211,1.4273,1.4336,1.4398,1.4461,1.4524,1.4586,1.4649,1.4712,1.4774,1.4837,1.4899,1.4962
0.00225,0.969908903,325.1048984,325.0541407,325.0084335,324.954156,324.9125561,324.866431,324.8153103,324.7736269,324.7308017,324.679164,324.6348117,324.5916445,324.5415816,324.4988591
0.00225,0.97,325.0556813,325.0052218,324.9598112,324.9058266,324.8645172,324.8186799,324.7678424,324.7264419,324.6838943,324.6325331,324.5884545,324.5455576,324.4957632,324.4533058
0.00225,0.969817806,325.090512,325.0398878,324.9943096,324.9401611,324.898688,324.8526877,324.8016937,324.7601306,324.7174295,324.665911,324.621677,324.5786281,324.5286807,324.486074
0.00225,0.969726709,325.0785863,325.0279983,324.982453,324.928339,324.8868996,324.8409321,324.7899745,324.7484426,324.7057777,324.6542921,324.610091,324.5670765,324.5171618,324.4745892
0.00225,0.969635612,325.0786759,325.0280699,324.9825039,324.928371,324.8869121,324.8409246,324.7899507,324.7483979,324.7057172,324.6542125,324.6099931,324.5669618,324.517029,324.4744399
0.00225,0.969544515,325.076286,325.0256904,324.9801317,324.9260077,324.8845568,324.8385765,324.7876131,324.7460659,324.7033957,324.6518981,324.607686,324.5646633,324.5147375,324.4721569
0.00225,0.969453418,325.0747272,325.0241339,324.9785745,324.9244513,324.8830005,324.8370197,324.7860593,324.7445102,324.7018431,324.6503451,324.6061332,324.5631121,324.5131863,324.4706073
0.00225,0.969362322,325.0727977,325.0222099,324.976653,324.922534,324.8810865,324.8351083,324.784154,324.742606,324.699945,324.6484497,324.6042408,324.5612242,324.5113012,324.4687266
0.00225,0.969271225,325.0712297,325.0206441,324.9750868,324.9209688,324.8795216,324.833543,324.7825918,324.7410421,324.6983843,324.6468889,324.6026804,324.5596655,324.5097426,324.4671697
0.00225,0.969180128,325.069644,325.019061,324.9735033,324.9193866,324.87794,324.8319612,324.7810132,324.739462,324.6968075,324.6453122,324.6011041,324.558091,324.5081685,324.4655974
0.00225,0.969089031,325.0681042,325.017524,324.9719661,324.9178507,324.8764049,324.8304259,324.7794813,324.7379288,324.6952778,324.6437825,324.5995751,324.556564,324.5066418,324.4640727
0.00225,0.968997934,325.0664695,325.0158931,324.970336,324.9162231,324.874779,324.8288008,324.7778608,324.7363078,324.6936614,324.6421671,324.5979612,324.5549531,324.5050322,324.462466
0.00225,0.968906837,325.0646915,325.0141202,324.968565,324.9144559,324.8730148,324.8270384,324.7761041,324.7345518,324.6919111,324.6404189,324.5962157,324.5532118,324.5032932,324.460731
0.00225,0.96881574,325.0627491,325.0121826,324.9666297,324.9125243,324.8710864,324.8251123,324.7741833,324.7326323,324.6899971,324.6385073,324.594307,324.5513073,324.5013913,324.4588332
0.00225,0.968724643,325.0612302,325.0106648,324.9651106,324.9110054,324.8695673,324.8235918,324.7726645,324.7311117,324.6884782,324.6369875,324.5927869,324.5497879,324.4998713,324.457314
0.00225,0.968633546,325.0598698,325.0093055,324.9637497,324.9096445,324.8682057,324.8222286,324.7713031,324.7297478,324.6871162,324.6356241,324.5914229,324.5484246,324.4985069,324.4559503
0.00225,0.968542449,325.0584602,325.0078987,324.9623428,324.9082392,324.8668014,324.820824,324.769902,324.7283455,324.6857174,324.6342254,324.5900249,324.5470287,324.4971114,324.4545568
0.00225,0.968451352,325.0564714,325.0059153,324.9603618,324.9062623,324.864828,324.8188531,324.767937,324.7263818,324.6837598,324.6322704,324.5880731,324.5450815,324.495167,324.4526168
0.00225,0.968360255,325.0545358,325.0039837,324.9584313,324.9043346,324.8629024,324.8169284,324.7660171,324.7244618,324.6818446,324.6303564,324.586161,324.5431727,324.4932597,324.4507129
0.00225,0.968269159,325.0526876,325.0021399,324.9565889,324.9024953,324.8610656,324.815093,324.7641867,324.7226318,324.6800196,324.628533,324.5843399,324.5413553,324.4914441,324.4489008
0.00225,0.968178062,325.0508394,325.000296,324.9547465,324.9006561,324.8592289,324.8132577,324.7623563,324.7208019,324.6781947,324.6267098,324.582519,324.5395381,324.4896288,324.4470891
0.00225,0.968086965,325.0491038,324.9985633,324.9530139,324.8989254,324.8574994,324.8115282,324.7606304,324.7190753,324.6764718,324.6249872,324.5807976,324.537819,324.4879104,324.4453731
0.00225,0.967995868,325.0472874,324.9967511,324.9512028,324.8971172,324.8556934,324.8097233,324.7588303,324.7172752,324.6746766,324.6231934,324.5790057,324.5360306,324.4861236,324.4435896
0.00225,0.967904771,325.0453669,324.9948347,324.9492879,324.8952054,324.853784,324.8078153,324.756927,324.7153725,324.6727787,324.6212971,324.5771117,324.5341402,324.4842351,324.4417046
0.00225,0.967813674,325.0435266,324.9929977,324.9474514,324.893371,324.8519512,324.805983,324.7550986,324.7135437,324.6709539,324.6194731,324.5752891,324.5323203,324.4824163,324.4398885
0.00225,0.967722577,325.041747,324.991221,324.9456751,324.8915967,324.8501782,324.8042103,324.7533297,324.7117742,324.6691882,324.6177079,324.5735252,324.530559,324.4806558,324.4381305
0.00225,0.96763148,325.0400511,324.9895278,324.9439817,324.8899049,324.8484873,324.8025193,324.7516419,324.7100854,324.6675028,324.6160227,324.5718408,324.5288768,324.478974,324.4364509
0.00225,0.967540383,325.0383968,324.9878759,324.9423297,324.8882543,324.8468375,324.8008693,324.749995,324.7084374,324.6658581,324.614378,324.5701968,324.5272348,324.4773324,324.4348113
0.00225,0.967449286,325.0368889,324.9863698,324.9408227,324.8867482,324.8453314,324.7993625,324.7484907,324.7069314,324.6643547,324.6128741,324.568693,324.5257324,324.4758298,324.4333101
0.00225,0.967358189,325.0355813,324.9850635,324.9395149,324.8854405,324.8440232,324.7980528,324.747183,324.7056213,324.6630467,324.6115649,324.5673833,324.5244236,324.4745201,324.4320012
0.00225,0.967267092,325.0339669,324.983452,324.9379034,324.8838308,324.8424145,324.7964441,324.7455779,324.7040151,324.6614443,324.6099628,324.5657821,324.5228248,324.4729219,324.4304054
0.00225,0.967175995,325.0321838,324.9816721,324.9361239,324.8820535,324.8406385,324.7946686,324.7438062,324.7022429,324.6596761,324.6081953,324.5640158,324.5210613,324.4711593,324.4286455
0.00225,0.967084899,325.030514,324.9800045,324.9344557,324.8803865,324.8389719,324.7930014,324.742142,324.7005771,324.6580134,324.6065323,324.5623533,324.5194005,324.4694986,324.4269865
0.00225,0.966993802,325.0288823,324.978376,324.9328272,324.87876,324.8373466,324.7913761,324.7405205,324.6989547,324.6563948,324.6049142,324.5607361,324.517786,324.4678848,324.4253752
0.00225,0.966902705,325.0270219,324.9765198,324.9309723,324.8769084,324.8354974,324.7895282,324.7386773,324.6971119,324.654557,324.603078,324.5589021,324.5159556,324.4660563,324.4235502
0.00225,0.966811608,325.0251158,324.9746161,324.9290684,324.8750061,324.833596,324.7876266,324.7367787,324.6952125,324.6526607,324.601182,324.557007,324.5140627,324.4641639,324.4216599
0.00225,0.966720511,325.0234977,324.9729987,324.9274492,324.8733868,324.8319761,324.7860048,324.7351583,324.6935897,324.6510395,324.5995594,324.5553837,324.5124399,324.4625401,324.4200367
0.00225,0.966629414,325.0216562,324.9711604,324.9256108,324.8715505,324.8301412,324.7841697,324.7333269,324.6917576,324.6492111,324.5977314,324.5535569,324.5106158,324.4607167,324.4182157
0.00225,0.966538317,325.0199019,324.9694084,324.9238583,324.8697995,324.8283909,324.7824187,324.7315789,324.6900084,324.6474649,324.5959852,324.5518112,324.5088721,324.4589733,324.4164741
0.00225,0.96644722,325.018273,324.9677821,324.9222315,324.8681742,324.8267663,324.7807936,324.7299569,324.6883851,324.6458448,324.5943651,324.5501917,324.5072546,324.4573561,324.4148588
0.00225,0.966356123,325.0164903,324.9660025,324.9204522,324.8663972,324.8249908,324.7790182,324.7281854,324.6866131,324.6440767,324.5925976,324.5484255,324.5054911,324.4555936,324.4130989
0.00225,0.966265026,325.0148796,324.9643942,324.9188431,324.8647893,324.8233834,324.77741,324.7265801,324.6850061,324.6424729,324.5909934,324.5468217,324.5038892,324.4539916,324.4114986
0.00225,0.966173929,325.0133025,324.9628194,324.9172675,324.8632151,324.8218097,324.7758354,324.7250085,324.683433,324.6409028,324.5894231,324.5452516,324.502321,324.4524235,324.4099323
0.00225,0.966082832,325.0116364,324.9611562,324.9156042,324.8615538,324.8201495,324.774175,324.7233517,324.6817753,324.6392487,324.5877693,324.5435989,324.5006707,324.4507738,324.4082849
0.00225,0.965991736,325.0097039,324.9592277,324.9136767,324.8596292,324.8182272,324.7722535,324.7214348,324.6798584,324.6373365,324.5858584,324.5416899,324.4987653,324.4488699,324.4063844
0.00225,0.965900639,325.0079726,324.957499,324.9119474,324.8579017,324.8165006,324.7705263,324.7197107,324.6781332,324.6356147,324.5841365,324.5399688,324.4970464,324.4471514,324.4046678
0.00225,0.965809542,325.006228,324.9557569,324.910205,324.8561609,324.8147607,324.7687859,324.7179734,324.6763948,324.6338794,324.5824014,324.5382343,324.495314,324.4454194,324.4029379
0.00225,0.965718445,325.0046084,324.954139,324.9085859,324.8545427,324.8131425,324.7671665,324.7163563,324.6747759,324.632263,324.5807842,324.5366171,324.4936982,324.4438032,324.4013229
0.00225,0.965627348,325.0031296,324.9526619,324.9071075,324.8530651,324.8116649,324.7656874,324.7148795,324.6732971,324.6307866,324.579307,324.5351397,324.4922221,324.4423266,324.3998475
0.00225,0.965536251,325.0013857,324.9509214,324.9053673,324.8513274,324.8099288,324.7639516,324.7131476,324.6715648,324.6290583,324.5775794,324.5334135,324.4904989,324.4406044,324.398128
0.00225,0.965445154,324.9996492,324.9491872,324.9036324,324.849594,324.808196,324.762218,324.711417,324.6698327,324.6273293,324.5758502,324.5316848,324.4887721,324.4388778,324.3964032
0.00225,0.965354057,324.9980844,324.9476241,324.902068,324.8480304,324.8066323,324.7606529,324.7098542,324.6682679,324.625767,324.5742869,324.5301213,324.48721,324.4373151,324.3948417
0.00225,0.96526296,324.9965952,324.946137,324.90058,324.8465438,324.805146,324.7591656,324.7083697,324.6667817,324.6242838,324.5728031,324.5286378,324.4857283,324.4358331,324.3933614
0.00225,0.965171863,324.9949153,324.9444606,324.898904,324.8448702,324.803474,324.7574939,324.7067019,324.6651134,324.6226197,324.5711396,324.5269757,324.4840692,324.434175,324.391706
0.00225,0.965080766,324.9930221,324.942571,324.8970151,324.8429842,324.8015898,324.7556104,324.7048226,324.663234,324.6207446,324.5692655,324.5251033,324.4822001,324.4323071,324.3898413
0.00225,0.964989669,324.9914303,324.9409807,324.8954235,324.8413934,324.7999988,324.754018,324.7032323,324.6616417,324.6191547,324.5676747,324.5235123,324.4806104,324.4307168,324.3882521
0.00225,0.964898573,324.9898041,324.9393567,324.8937987,324.83977,324.7983759,324.7523943,324.7016113,324.6600192,324.6175352,324.5660547,324.5218926,324.4789926,324.4290988,324.3866359
0.00225,0.964807476,324.9881171,324.937672,324.8921134,324.8380863,324.7966927,324.7507105,324.6999303,324.6583369,324.615856,324.5643751,324.5202136,324.4773156,324.4274218,324.3849608
0.00225,0.964716379,324.9866696,324.9362261,324.8906663,324.8366401,324.7952464,324.7492628,324.6984849,324.6568895,324.6144111,324.5629292,324.5187675,324.4758709,324.4259764,324.3835166
0.00225,0.964625282,324.9849141,324.9344739,324.8889145,324.8348909,324.7934988,324.7475156,324.6967414,324.6551457,324.6126713,324.56119,324.5170298,324.4741361,324.4242426,324.3817855
0.00225,0.964534185,324.9832498,324.9328124,324.8872528,324.8332313,324.7918402,324.7458567,324.6950857,324.6534891,324.6110182,324.5595369,324.5153776,324.4724864,324.4225931,324.3801384
0.00225,0.964443088,324.9816785,324.9312435,324.8856836,324.8316639,324.7902736,324.7442896,324.6935216,324.651924,324.6094563,324.5579748,324.5138161,324.4709272,324.421034,324.3785813
0.00225,0.964351991,324.9801857,324.9297522,324.8841912,324.8301724,324.7887821,324.7427968,324.6920309,324.6504315,324.6079662,324.5564837,324.5123251,324.4694375,324.4195437,324.3770923
0.00225,0.964260894,324.978738,324.9283059,324.8827434,324.8287254,324.7873349,324.7413482,324.6905841,324.6489828,324.6065198,324.555036,324.5108771,324.4679908,324.4180961,324.3756458
0.00225,0.964169797,324.9770237,324.9265947,324.8810322,324.8270166,324.7856273,324.7396405,324.68888,324.647278,324.6048189,324.5533352,324.5091774,324.466294,324.4163996,324.373952
0.00225,0.9640787,324.9751605,324.9247347,324.8791727,324.8251598,324.7837722,324.7377857,324.687029,324.6454267,324.6029717,324.5514886,324.5073324,324.464452,324.4145585,324.3721138
0.00225,0.963987603,324.9735953,324.9231705,324.8776069,324.8235945,324.7822064,324.7362183,324.6854632,324.6438587,324.6014057,324.5499212,324.5057645,324.4628852,324.4129906,324.3705469
0.00225,0.963896506,324.9720318,324.9216094,324.8760452,324.8220346,324.780647,324.7346582,324.6839059,324.6423001,324.5998503,324.5483653,324.5042091,324.461332,324.4114372,324.3689954
0.00225,0.963805409,324.9700458,324.9196275,324.8740644,324.8200573,324.7786721,324.7326844,324.6819366,324.6403312,324.5978862,324.5464025,324.5022485,324.4593752,324.409482,324.3670438
0.00225,0.963714313,324.9683409,324.9179241,324.8723597,324.8183537,324.7769683,324.7309792,324.6802334,324.6386261,324.5961835,324.5446988,324.5005447,324.4576728,324.4077789,324.3653421
0.00225,0.963623216,324.9666439,324.9162287,324.8706632,324.8166583,324.7752729,324.7292827,324.6785389,324.6369299,324.5944899,324.5430042,324.4988501,324.4559798,324.4060853,324.3636499
0.00225,0.963532119,324.9652043,324.9147902,324.8692228,324.8152186,324.7738326,324.7278404,324.6770983,324.6354868,324.5930487,324.5415614,324.4974066,324.4545375,324.4046416,324.3622071
0.00225,0.963441022,324.9635321,324.9131216,324.8675547,324.8135535,324.7721691,324.7261773,324.675439,324.6338272,324.5913935,324.5399067,324.4957534,324.4528875,324.4029924,324.3605609
0.00225,0.963349925,324.9616718,324.9112646,324.8656981,324.8116997,324.7703169,324.7243255,324.6735909,324.6319788,324.5895492,324.5380629,324.4939111,324.4510484,324.4011541,324.3587256
0.00225,0.963258828,324.960094,324.9096877,324.8641196,324.8101219,324.7687383,324.7227453,324.672012,324.6303977,324.5879699,324.5364823,324.4923298,324.4494681,324.3995727,324.357145
0.00225,0.963167731,324.9585901,324.9081848,324.8626149,324.8086178,324.7672336,324.7212388,324.6705071,324.6288902,324.5864644,324.5349753,324.4908222,324.4479615,324.3980648,324.355638
0.00225,0.963076634,324.9568947,324.9064922,324.8609219,324.806927,324.7655435,324.7195485,324.6688197,324.6272018,324.5847795,324.5332903,324.4891378,324.4462796,324.3963831,324.3539585
0.00225,0.962985537,324.9551999,324.9047994,324.8592283,324.8052351,324.7638518,324.717856,324.6671296,324.6255102,324.5830908,324.531601,324.4874487,324.4445924,324.3946956,324.3522728
0.00225,0.96289444,324.9536905,324.9032909,324.8577178,324.803725,324.7623408,324.716343,324.6656179,324.6239957,324.5815782,324.5300866,324.4859334,324.4430781,324.3931798,324.3507576
0.00225,0.962803343,324.9520795,324.9016819,324.8561078,324.8021167,324.7607326,324.7147338,324.6640111,324.6223872,324.5799725,324.5284801,324.484327,324.4414735,324.3915747,324.3491542
0.00225,0.962712246,324.9503445,324.89995,324.8543759,324.8003874,324.7590044,324.7130057,324.6622863,324.6206616,324.5782507,324.5267586,324.4826065,324.4397558,324.3898574,324.3474395
0.00225,0.96262115,324.9486854,324.8982932,324.8527185,324.7987319,324.7573492,324.7113499,324.6606333,324.6190071,324.5765994,324.5251068,324.480955,324.4381066,324.3882079,324.3457921
0.00225,0.962530053,324.947004,324.8966142,324.851039,324.7970545,324.7556723,324.7096725,324.6589586,324.617331,324.5749267,324.5234337,324.4792824,324.4364363,324.3865375,324.3441237
0.00225,0.962438956,324.9454617,324.8950739,324.8494976,324.7955148,324.7541326,324.7081317,324.6574202,324.6157907,324.5733894,324.5218955,324.4777441,324.4348999,324.3850004,324.3425884
0.00225,0.962347859,324.94373,324.8933451,324.8477688,324.7937884,324.7524072,324.7064064,324.655698,324.6140677,324.5716701,324.5201763,324.4760258,324.4331844,324.3832852,324.3408756
0.00225,0.962256762,324.9420774,324.8916949,324.8461181,324.7921399,324.7507592,324.7047579,324.6540522,324.6124207,324.5700264,324.5185321,324.4743821,324.4315431,324.3816436,324.3392362
0.00225,0.962165665,324.9403803,324.8900001,324.8444228,324.7904465,324.7490663,324.7030645,324.6523614,324.6107286,324.5683374,324.5168427,324.4726932,324.4298563,324.3799567,324.3375512
0.00225,0.962074568,324.938672,324.8882944,324.8427167,324.7887427,324.7473631,324.7013609,324.6506607,324.6090267,324.566639,324.5151439,324.4709951,324.4281607,324.3782609,324.3358578
0.00225,0.961983471,324.9369076,324.8865334,324.8409561,324.7869852,324.745607,324.6996053,324.6489086,324.6072743,324.5648908,324.5133962,324.4692487,324.4264176,324.3765183,324.3341182
0.00225,0.961892374,324.934905,324.8845342,324.8389579,324.7849903,324.7436139,324.6976132,324.6469202,324.6052861,324.562907,324.5114132,324.4672675,324.4244399,324.3745417,324.3321449
0.00225,0.961801277,324.9332034,324.8828337,324.8372559,324.7832893,324.7419122,324.6959102,324.6452186,324.6035824,324.5612053,324.5097102,324.465564,324.4227376,324.3728383,324.3304425
0.00225,0.96171018,324.931696,324.8813272,324.8357477,324.7817819,324.7404039,324.6944003,324.64371,324.6020712,324.5596961,324.5081993,324.4640523,324.421227,324.3713262,324.3289313
0.00225,0.961619083,324.930156,324.8797888,324.8342083,324.7802439,324.7388657,324.6928612,324.6421726,324.6005322,324.5581595,324.5066617,324.4625145,324.4196908,324.3697892,324.3273957
0.00225,0.961527986,324.9287013,324.8783343,324.8327517,324.7787875,324.7374078,324.6914014,324.6407133,324.5990701,324.5566987,324.5051988,324.4610504,324.4182272,324.3683237,324.3259306
0.00225,0.96143689,324.9278927,324.877524,324.8319369,324.7779709,324.7365876,324.690577,324.6398874,324.598239,324.555867,324.5043628,324.460211,324.4173863,324.3674787,324.325084
0.00225,0.961345793,324.9263463,324.8759815,324.8303952,324.7764327,324.7350512,324.6890414,324.6383559,324.5967073,324.5543401,324.5028366,324.4586865,324.4158653,324.3659586,324.3235673
0.00225,0.961254696,324.9245729,324.8742107,324.8286243,324.7746643,324.7332836,324.6872738,324.6365912,324.5949418,324.5525781,324.5010746,324.4569253,324.4141069,324.3642003,324.3218114
0.00225,0.961163599,324.923159,324.872798,324.8272096,324.7732504,324.7318688,324.6858571,324.6351758,324.5935238,324.5511621,324.4996568,324.4555067,324.4126893,324.3627812,324.3203931
0.00225,0.961072502,324.9214692,324.8711115,324.8255234,324.7715672,324.7301869,324.6841755,324.6334978,324.5918453,324.5494877,324.4979828,324.4538339,324.4110197,324.3611121,324.3187269
0.00225,0.960981405,324.9198127,324.8694576,324.8238691,324.7699152,324.7285355,324.6825237,324.6318488,324.5901952,324.547841,324.4963358,324.4521876,324.4093759,324.3594683,324.3170854
0.00225,0.960890308,324.9180484,324.8676962,324.8221076,324.7681563,324.7267777,324.6807658,324.6300941,324.5884397,324.5460892,324.4945842,324.4504369,324.407628,324.3577207,324.3153403
0.00225,0.960799211,324.9163109,324.8659612,324.8203721,324.7664231,324.725045,324.6790327,324.6283637,324.5867081,324.544361,324.4928556,324.448709,324.4059025,324.3559951,324.3136169
0.00225,0.960708114,324.9144687,324.8641214,324.818532,324.7645851,324.7232077,324.677195,324.6265288,324.5848721,324.5425283,324.4910228,324.4468768,324.4040727,324.3541654,324.3117895
0.00225,0.960617017,324.9129356,324.8625892,324.8169975,324.7630512,324.7216727,324.6756578,324.6249927,324.5833332,324.5409911,324.4894838,324.4453368,324.4025335,324.3526246,324.3102493
0.00225,0.96052592,324.9114555,324.8611108,324.8155178,324.761573,324.7201943,324.6741781,324.6235151,324.5818535,324.5395141,324.4880057,324.4438584,324.4010569,324.3511472,324.3087733
0.00225,0.960434823,324.9097908,324.8594491,324.8138557,324.7599136,324.7185357,324.6725191,324.6218593,324.5801967,324.537861,324.4863525,324.442206,324.3994073,324.3494977,324.3071264
0.00225,0.960343727,324.9080406,324.8577025,324.8121094,324.7581706,324.7167942,324.6707779,324.6201219,324.5784587,324.5361275,324.4846195,324.4404745,324.3976791,324.3477703,324.305402
0.00225,0.96025263,324.906142,324.8558076,324.810215,324.7562796,324.7149049,324.668889,324.618237,324.5765736,324.5342468,324.4827396,324.4385962,324.3958044,324.3458965,324.3035315
0.00225,0.960161533,324.9043904,324.8540581,324.8084647,324.7545311,324.7131566,324.6671399,324.6164902,324.5748253,324.5325015,324.4809938,324.4368506,324.3940608,324.3441527,324.3017895
0.00225,0.960070436,324.9026994,324.8523688,324.8067739,324.7528417,324.711467,324.6654489,324.6148011,324.5731343,324.5308129,324.4793041,324.4351607,324.3923726,324.3424637,324.3001018
0.00225,0.959979339,324.9009465,324.8506181,324.8050224,324.7510923,324.7097179,324.6636989,324.6130535,324.5713852,324.5290668,324.4775575,324.4334144,324.3906285,324.3407193,324.2983593
0.00225,0.959888242,324.8993658,324.8490394,324.8034424,324.749514,324.7081396,324.6621193,324.6114761,324.569806,324.5274904,324.4759801,324.431837,324.3890529,324.3391431,324.2967847
0.00225,0.959797145,324.8977721,324.8474485,324.8018511,324.7479254,324.7065518,324.6605311,324.609891,324.5682198,324.5259078,324.4743974,324.430255,324.3874737,324.3375639,324.295208
0.00225,0.959706048,324.895833,324.8455131,324.7999166,324.7459945,324.7046228,324.6586029,324.6079666,324.5662958,324.5239882,324.4724788,324.4283383,324.3855606,324.335652,324.2932994
0.00225,0.959614951,324.8942152,324.8438961,324.7982977,324.7443763,324.7030038,324.656982,324.6063467,324.5646736,324.5223676,324.4708566,324.4267153,324.3839386,324.3340286,324.2916767
0.00225,0.959523854,324.8926466,324.842329,324.7967293,324.7428093,324.7014366,324.6554134,324.6047798,324.5631047,324.5208011,324.4692889,324.4251474,324.3823722,324.3324613,324.2901107
0.00225,0.959432757,324.8910518,324.8407359,324.7951351,324.7412169,324.6998442,324.6538198,324.6031882,324.5615116,324.5192106,324.4676974,324.4235559,324.3807826,324.330871,324.288522
0.00225,0.95934166,324.8894809,324.8391668,324.7935649,324.7396485,324.6982759,324.6522504,324.6016207,324.5599426,324.5176441,324.4661299,324.4219886,324.3792171,324.3293047,324.2869573
0.00225,0.959250563,324.8877187,324.8374076,324.7918057,324.7378921,324.6965206,324.650495,324.5998683,324.5581896,324.5158949,324.4643807,324.4202404,324.3774719,324.3275596,324.2852149
0.00225,0.959159467,324.8858585,324.8355502,324.7899484,324.7360378,324.6946675,324.6486418,324.5980181,324.556339,324.5140479,324.4625338,324.4183946,324.375629,324.325717,324.283375
0.00225,0.95906837,324.8841413,324.8338343,324.7882313,324.7343222,324.6929516,324.6469247,324.5963024,324.5546217,324.5123328,324.4608175,324.4166782,324.3739142,324.3240013,324.2816606
0.00225,0.958977273,324.8826842,324.8323775,324.786772,324.7328634,324.6914914,324.6454621,324.5948403,324.5531568,324.5108691,324.4593515,324.4152109,324.3724475,324.3225324,324.2801921
0.00225,0.958886176,324.8811315,324.8308267,324.7852201,324.7313134,324.6899415,324.6439111,324.5932912,324.5516061,324.509321,324.4578024,324.4136618,324.3709004,324.3209845,324.2786458
0.00225,0.958795079,324.8794508,324.8291485,324.7835415,324.7296373,324.688266,324.6422351,324.5916178,324.5499318,324.5076499,324.456131,324.411991,324.3692321,324.319316,324.2769796
0.00225,0.958703982,324.877759,324.8274585,324.7818507,324.7279484,324.6865772,324.6405455,324.5899301,324.5482427,324.5059636,324.4544438,324.4103041,324.3675471,324.3176304,324.2752958
0.00225,0.958612885,324.8763889,324.826089,324.7804788,324.7265771,324.6852047,324.6391705,324.5885559,324.5468657,324.504588,324.4530661,324.4089251,324.3661689,324.3162503,324.2739161
0.00225,0.958521788,324.874617,324.8243204,324.7787104,324.7248119,324.6834407,324.6374067,324.5867954,324.5451047,324.502831,324.4513094,324.4071696,324.3644166,324.3144984,324.2721671
0.00225,0.958430691,324.8728135,324.8225193,324.7769088,324.7230126,324.681642,324.6356075,324.5849988,324.543307,324.5010365,324.4495146,324.4053754,324.3626248,324.3127065,324.2703774
0.00225,0.958339594,324.8711064,324.8208144,324.7752031,324.7213092,324.6799388,324.6339034,324.583297,324.5416038,324.4993363,324.4478138,324.4036748,324.3609265,324.3110078,324.2686806
0.00225,0.958248497,324.8694314,324.8191413,324.7735287,324.7196366,324.6782661,324.6322295,324.581625,324.53993,324.4976651,324.4461417,324.4020026,324.3592562,324.3093367,324.2670112
0.00225,0.9581574,324.8680057,324.8177164,324.7721013,324.71821,324.6768381,324.6307992,324.5801956,324.5384976,324.4962343,324.4447088,324.4005684,324.3578228,324.3079014,324.2655764
